Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Department	Course Url	Duration to complete (Approx.)	Keywords	Number of Review
Guitar Chord Voicings: Playing Up The Neck	4.7	Intermediate level	Flexible schedule	Look at a lead sheet and play chord voicings. Construct triads, 7th chords, and inversions. Play and know the voicings of various chord qualities such as a major triad, minor triad, dominant 7, and gospel chords. Play triads over bass notes.	Guitar, Music, playing guitar, Music notation, Guitar chords	Welcome to Guitar Chord Voicings: Playing Up The Neck!, Triad Inversions, Barre and Power Chords, Seventh Chords: Drop-2, Chord Substitutions, Diatonic Chords, and Gospel Chords	Rick Peckham	Berklee	Arts and Humanities	https://www.coursera.org/learn/guitar-chords	9.0	Music	53.0
Guitar Performance Techniques	4.5	Intermediate level	Flexible schedule	Develop warm-up techniques to prepare for ensemble playing. Identify and play common chordal accompaniment. Demonstrate ensemble playing techniques while performing.	Guitar, Music, Performance Techniques, Guitar chords, Ear Training	Welcome to Guitar Performance Techniques!, Warming Up, Developing Your Ears, Tone Production Essentials: Developing Your Touch on the Guitar, Performance Preparation	Tim Miller	Berklee	Arts and Humanities	https://www.coursera.org/learn/guitar-performance	10.0	Music	46.0
Exploring Piano Literature: The Piano Sonata Specialization	4.9	Intermediate level	Flexible schedule	Identify specific historical time periods in which the popularity of sonatas increases or decreases and the reasons behind these trends. Identify sonata form. Recognize the most influential pieces in the sonata repertoire. 	Beethoven, Piano sonata, Romantic sonatas, Mozart, Russian composers, Piano literature	The Piano Sonata: Origins to Mozart, The Piano Sonata: Beethoven and the Romantics, The Piano Sonata: Russian and 20th-21st Century Composers	Matthew Bengtson	University of Michigan	Arts and Humanities	https://www.coursera.org/specializations/exploring-piano-literature	40.0	Music,History & Religion,Art & Humanities	24.0
The Piano Sonata: Origins to Mozart	4.9	Intermediate level	Flexible schedule	Understand how sonata form works and where it came from. Analyze the early history of the piano sonata. Differentiate between Baroque, Galant, and Classical styles.	Classical styles, Piano sonatas, Sonata form, Mozart, Baroque style	Setting the Stage, Week 2: Dawn of the Sonata, Viennese Classics: Haydn and Mozart, Conclusion and Optional Honors Project	Matthew Bengtson	University of Michigan	Arts and Humanities	https://www.coursera.org/learn/piano-sonata-origins-to-mozart	10.0	History & Religion,Music	22.0
How to Create Color Gradients in Adobe Illustrator	0.0	Intermediate level	Hands-on learning	Learning about tools inside the gradient and how to create a linear gradient in Adobe Illustrator. Learn how to create a radial gradient in Adobe Illustrator. Learn how to create a freeform gradient in Adobe Illustrator.	Adobe Illustrator, Digital Design, Design Pattern, Graphic Design, Digital Art	Learn step-by-step	Nicole Alvelo	Coursera Project Network	Arts and Humanities	https://www.coursera.org/projects/create-color-gradients-adobe-illustrator	1.0	Design	0.0
Jazz Improvisation	4.8	Intermediate level	Flexible schedule	Use storytelling as a tool to improve your improvisation. Practice and use various scales to improve your improvisation skills. Identify harmonic motion in a song. Use guide tones and guide tone lines when you're improvising.	Music Performance, Music, Jazz, Jazz Improvisation	"Welcome to Jazz Improvisation, Improvisation as a Language, ""The Improvisers Vocabulary"", Making Scale Choices in Real Time, Harmony for Improvisers, Theme and Variation"	Gary Burton	Berklee	Arts and Humanities	https://www.coursera.org/learn/jazz-improvisation	13.0	Music	782.0
Print and Digital Elements of Design: Branding and User Experience	4.7	Beginner level	Flexible schedule	Relate how to best work with graphic designers, printers and web designers. Explore the printing elements of graphic design. Examine the online elements of graphic design.	Not specified	More on Textual Elements, Color and Fixing Design Issues, Printing Elements of Graphic Design, Online Elements of Graphic Design	Lori Poole	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/designing-print-digital-media	9.0	Branding,Design	245.0
Ukraine: History, Culture and Identities	4.7	Beginner level	Flexible schedule	A short introductory course in the history, culture, and society of Ukraine from the Middle Ages to the present.	Not specified	Module 1: Independence and Pre-XIX Century Ukraine, Module 2: Ukraine in the XIX Century and Beyond	Ukrainian Institute Staff	University of Washington	Arts and Humanities	https://www.coursera.org/learn/ukraine-history-culture-and-identities	5.0	History & Religion	195.0
Introduction to UX Design MasterTrack Certificate Program	3.9	Beginner level	Flexible schedule	After finishing our Mastertrack program, you'll gain  artful and scientific skills in conducting and evaluating user experience design and research. After finishing the program, you will apply your new career skills by designing a proposal and developing a user experience product for organization.	Not specified	Introduction to the Course, Ethics and Research, User Research for User Experience Design, Visual Literacy, User Testing for User Experience Design, What is next?	Debra Lawton, Frances Trice	University of Minnesota	Arts and Humanities	https://www.coursera.org/learn/ux-design-open-content-shell	4.0	UX/UI	12.0
Piano Scales for Modern Music	0.0	Intermediate level	Flexible schedule	Construct and play a variety of scales used in contemporary musicIdentify scales in multi-genre melodies and harmonies. Compose and improvise melodies using scales. Utilize effective practice routines to quickly improve your piano playing.	Improvisation, Effective Practice Techniques, Piano Performance, Harmony, Music theory	Welcome to Piano Scales for Modern Music!, Lesson 1: The Major and Natural Minor Scales, Lesson 2: The Major and Minor Pentatonic Scales, Lesson 3: The Modes of the Major Scale, Lesson 4: Playing the Blues	Suzanna Sifter	Berklee	Arts and Humanities	https://www.coursera.org/learn/piano-scales-for-modern-music	12.0	Music	0.0
Visualizing Women's Work: Using Art Media for Social Justice	4.5	Beginner level	Flexible schedule	"How to describe the role of gender bias in historical public art and design and how it perpetuates cultural norms of gender inequity, such as ""work"""	Art History, Art, Gender Studies, Social Justice	"Visual Literacy , Art and Social Justice, Gender Bias, ""Visualizing Womens Work"""	Melanie Manos	University of Michigan	Arts and Humanities	https://www.coursera.org/learn/visualizing-womens-work-using-art-media-for-social-justice	15.0	Social Science,Art & Humanities	45.0
William Shakespeare's Twelfth Night: Comedy, Conflict, and Community	4.7	Beginner level	Flexible schedule	Engage Shakespeare’s play through appreciation of the richness of language, the complexity of his characters, and the intricacy of his narrativesGrasp the primary interpretive questions facing readers, actors, and scholars of Twelfth Night. Enhance enjoyment of the play through insight into the richness, humor, and power of Shakespeare’s presentation of the human condition. View Shakespeare’s plays as an invitation to interpret and create, empowering you as a thinker and creator.	"appreciate richness of Shakespearean language, ""apply Shakespeares words and works to the contemporary moment"", textual analysis through interpretation and annotation, make art real and relevant in your life and community"	Twelfth Night and the World of the Play, Desire, Identity, and Chaos in Twelfth Night, Class, Comedy, and Conflict in Twelfth Night, Twelfth Night and the Limits of Comedy, Applied Shakespeare in the Community: A Case Study, OPTIONAL BONUS MODULE: Optional Full-Length Actor Interviews	Kevin Rich, David Glimp	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/shakespeare-twelfth-night-comedy-community-applied	25.0	Languages & Literature	29.0
Conspiracy Planet	4.5	Beginner level	Flexible schedule	Learners will be able to identify conspiracy theories. Learners will be able to evaluate and critique conspiracy theories. Learners will be able to create their own conspiracy theories.	Not specified	"Introduction, Richard Hofstadter and the ""Paranoid Style"", Protocols of the Elders of Zion, World War I, JFK Assassination , Marilyn Monroe & Princess Diana Conspiracies, Conclusion"	Matthew Lasar	University of California, Santa Cruz	Arts and Humanities	https://www.coursera.org/learn/conspiracy-planet	9.0	Sociology,Social Science	25.0
William Shakespeare's Romeo & Juliet: An Actor's Perspective	0.0	Beginner level	Flexible schedule	By successfully completing this course, you will be able to describe the plot of Romeo and Juliet and identify major characters and themes. You will be able to analyze and interpret heightened text. You will be able to describe multiple theatrical approaches to Shakespeare's plays.	Acting, Shakespeare, Textual Analysis, Theatre, Literature	Act 1: Introductions, Act 2: The Courtship, Act 3: The Fight, Act 4: The Last Hope, Act 5: The Tragedy	Kevin Rich	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/actors-discuss-romeo-and-juliet	10.0	Languages & Literature	0.0
The Music of the Rolling Stones, 1962-1974	4.8	Beginner level	Flexible schedule	Students will be able to describe the exciting evolution of The Rolling Stones starting from the early 1960's through the mid 1970's.	Not specified	Introduction and Students of the Blues, The Year of Satisfaction, The Music Matures, Psychedelia and Beyond, Let It Bleed and Sticky Fingers, Exile on Main Street, The End of an Era	John Covach	University of Rochester	Arts and Humanities	https://www.coursera.org/learn/rolling-stones	13.0	Music,History & Religion	164.0
Odesa: Jews in the Modern World	4.7	Beginner level	Flexible schedule	Describe the connection between Odesa as a place of opportunity and abundance, international trade, and modern capitalism. Connect virtuosity with Jewish interculturality and the complications of multilingual cultural production. Describe the ambiguous class and economic status of Jews in the Russian Empire and Pale of Settlement.	Not specified	Lecture 1: A city like no other, Lecture 2: Jewish life in the Russian Empire, Lecture 3: Modernism & Internationalism, Lecture 4: Antisemitism in the Russian Empire, Lecture 5: Jewish achievement in the modern world, Lecture 6: Jewish virtuosity, Lecture 7: Revolution & Civil War, Final Project: A Postcard from Odesa	Peter Kenez, Murray Baumgarten	University of California, Santa Cruz	Arts and Humanities	https://www.coursera.org/learn/odesa	13.0	History & Religion	14.0
Korean Music, A Philosophical Exploration	0.0	Intermediate level	Flexible schedule	The students can learn about the various aspects of Korean music and its cultural  significance. The students can understand the differences between K-pop and traditional Korean music (Gugak) and what makes Korean music unique. The students can learn about the historical and cultural influences on Korean music  and how it has evolved over time.The students can explore the emotional and symbolic meanings of Korean  songs and how they relate to Korean culture and identity.	Philosophy, Music, History, Culture, Korean philosophy	"Philosophizing through Korean Music, Evolving Identity of Korean Music, Korean  Music Viewed  through Cultural Boundaries, Korean Music and Emotions, Korean Music and Morality, Korean Music and Language, ""Lets Talk about Korean Music and Philosophy"""	SU-HYUN KIM, SO JEONG PARK	Sungkyunkwan University	Arts and Humanities	https://www.coursera.org/learn/korean-music-a-philosophical-exploration	12.0	Asian Studies,Philosophy,Languages & Literature,Music	0.0
Building Your Artistic Brand	0.0	Intermediate level	Flexible schedule	Identify the character of visual and audio materials that best capture the professional image you wish to project. Use a variety of demographic and psychographic parameters to define your customer market and/or audience. Identify marketing channels and how they are used to promote your brand and build your business. Employ strategies for effective social media content.	Email Communication, Social Media, Marketing, Entrepreneurship, Branding	Defining Your Brand, Who is Your Market?, Marketing Channels and Strategies, Managing Your Online Presence	Jeffrey Nytch	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/building-your-artistic-brand	9.0	Marketing,Branding,Social Media	0.0
Music Production Capstone	4.8	Intermediate level	Flexible schedule	"Create a mock up of your song, using the emotional and dynamic timeline technique to ""map"" the arrangement of your production. Run a recording session effectively, including creating a comfortable space and providing effective feedback to musicians. Edit your tracks while using your reference tracks and emotional and dynamic timelines to realize your vision for your production. Ensure all instruments sound their best by using level, panning, EQ, and other effects and evaluate your mix by listening to it critically."	Music, Music production, music editing, Music mixing	Welcome to the Music Production Capstone, Pre-Production, Production, Editing, Mixing & Mastering	Stephen Webber, Loudon Stearns, Chrissy Tignor	Berklee	Arts and Humanities	https://www.coursera.org/learn/music-production-capstone	8.0	Music	112.0
Chosen Issues in Holocaust History	4.4	Intermediate level	Flexible schedule	"The rise of Nazi party to power and the development of anti-Jewish policy until the outbreak of the war. The establishment of the ghettos and the daily life within them. The development and implementation of the ""Final Solution"".  The development of antisemitism throughout the ages  and its expressions."	Not specified	"Nazi Germany: 1933-1939 , The Outbreak of World War II and Anti-Jewish Policies, 1939-1941  , The Formulation and Implementation of the ""Final Solution"", 1941-1945, The Image of ""the Jew"" in Nazi Antisemitism - Visuals and Typology, Key Stages in the History of World War II  and The Deportations, The World After the Holocaust: Trauma, Memory and Culture  "	Dr. Olga Ungar, Yuval Ovadia	Yad Vashem 	Arts and Humanities	https://www.coursera.org/learn/chosenissues	18.0	Art & Humanities,History & Religion	20.0
Strategies for Success in your Music Career	0.0	Intermediate level	Flexible schedule	Understand your unique mix of musical and non-musical skills and how those skills can inform your career development. Develop better habits: Link task management to near-term, mid-term, and long-term goals. Identify ways to measure outcomes and gauge success. Begin building/expanding a professional network.	goal setting, Mission Statement, Networking, Time management, Measuring Success	Assessing Your Skills, Setting and Evaluating Your Goals, Managing Your Time, Building and Managing Your Network	Jeffrey Nytch	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/strategies-for-success-in-your-music-career	11.0	Music,Soft Skills	0.0
The Piano Sonata: Russian and 20th-21st Century Composers	4.8	Intermediate level	Flexible schedule	Learn how the piano sonata was revitalized in the 20th century. Study both Neo-Classical and avant-garde styles. Explore the work of Russian composers, such as Scriabin, Medtner, and Prokofiev.	Piano sonatas, Avant-garde style, Neo-classical style, Russian composers	Setting the Stage, Russian Composers, 20th and 21st Century Composers, Course Conclusion and Honors Track Formal Analysis	Matthew Bengtson	University of Michigan	Arts and Humanities	https://www.coursera.org/learn/piano-sonata-russian-20-21-century-composers	13.0	Music,History & Religion	11.0
Black Performance as Social Protest	0.0	Beginner level	Flexible schedule	Identify ways in which patterns of resistance from the past contribute to ongoing social justice movements.Reflect on methods of achieving racial equity through performance.	Equity, social activism, Social Justice	Slavery and The Whip, Jim Crow and The Noose, Civil Rights and The Fist, Black Lives Matter and The Baton, Call to Action: Manifesto and The Circle	Scott Piper, Louise Toppin	University of Michigan	Arts and Humanities	https://www.coursera.org/learn/black-performance-as-social-protest	23.0	Race & Racism,History & Religion,Art & Humanities	0.0
Promotional Materials Every Musician Needs	0.0	Intermediate level	Flexible schedule	Learn the three types of resumes (performance resume, general music resume, and skills resume), when to use them, and how to format them. Apply basic concepts of composition, lighting, and audio quality to create compelling promotional images and demo videos. Write a selection of prose biographies for a variety of settings that illustrate your artist’s Mission Statement. Identify the key components and visual “feel” of a professional website.	Demo Videos, Resumes, Promotional Images, Websites, Cover Letters	Resumes and CVs, Bios and Cover Letters, Promotional Images, Demo Videos, and Websites	Jeffrey Nytch	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/promotional-materials-every-musician-needs	10.0	Music,Marketing	0.0
Launching Your Music Career	0.0	Intermediate level	Flexible schedule	Articulate your Unique Selling Proposition. Use the Business Model Canvas to determine the core functions required to effectively manage your portfolio career. Complete a comprehensive growth and recruitment plan for your teaching studio and identify the competitive landscape. Seek out and book performance opportunities in a variety of settings.	Promotion (Marketing), Freelancing, Setting up your Teaching Studio, music career, Gigging	Be Your Own Manager, Freelance Performance, Setting Up Your Teaching Studio, Growing Your Teaching Studio, Launch a Website and Open a Studio (optional assignments)	Jeffrey Nytch	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/launching-your-music-career	7.0	Music,Marketing,Business	0.0
Race, Gender, and Culture	0.0	Beginner level	Flexible schedule	Understand how baseball illuminates the history of race relations. Analyze the challenges faced by women in sports and America. Illuminate how baseball reflects on American culture.  	Sports, Culture, America, Baseball, US History	Baseball Comes of Age, Baseball Culture, Only the Ball was White, Post War	Tom Zeiler	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/race-gender-and-culture	9.0	Race & Racism,Sport	0.0
The Piano Sonata: Beethoven and the Romantics	0.0	Intermediate level	Flexible schedule	"Learn how the piano sonata was taken to new heights by Beethoven. Explore the ""War of the Romantics."" Understand the differences between Viennese and English/French traditions of piano music."	Beethoven, Piano sonatas, The Romantics	Setting the Stage, Ludwig van Beethoven, Romantics, Course Conclusion and Honors Track Formal Analysis	Matthew Bengtson	University of Michigan	Arts and Humanities	https://www.coursera.org/learn/piano-sonata-beethoven-to-romantics	12.0	Music,History & Religion	0.0
Edit your photos for Social Media with Easil	0.0	Beginner level	Hands-on learning	Create an individual photo project for social media in Easil.	Social Media Marketing, Photography, Graphic Design	Learn step-by-step	Michelle Flores	Coursera Project Network	Arts and Humanities	https://www.coursera.org/projects/edit-photos-social-media-easil	2.0	Social Media,Design	0.0
Asian American History and Identity: An Anti-Racism Toolkit	0.0	Beginner level	Flexible schedule	Define anti-asian racism and its history in the US. Recognize the diversity of AAPI cultures, perspectives, and experiences. Identify bias, discrimination, and racism in various spaces. Develop a skill set for responding to anti-asian racism.	Stereotypes and Representation, anti-racism, Asian-American Identity, Intersectionality, Asian-American History	Introducing Asian American Communities, Exploring The Contours of Asian American History, Covid-19, Media Representation, and Becoming an Active Bystander, Course Conclusion and Evaluation 	Maxwell Cassity, Kariann Yokota	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/asian-american-history-identity-antiracism-toolkit	19.0	Asian Studies,Race & Racism,History & Religion,Health	0.0
Baseball and Americanism	0.0	Beginner level	Flexible schedule	Gauge the role of nationalism in American history.  Survey institutions, such as the U.S. presidency, in shaping baseball. Investigate how American identity is tied to baseball. 	Sports, Culture, America, Baseball, US History	Continental Expansion and Beyond, Imperial Reach, The Inter War Years, The American Century	Tom Zeiler	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/baseball-and-americanism	9.0	History & Religion,Sport,Politics	0.0
Baseball into the Millennium	0.0	Beginner level	Flexible schedule	Understand the role of war and crises on baseball. Reflect on how moneyball changed the game and America. Describe how contemporary trends, issues and movements tie back to more distant history. 	Sports, Culture, America, Baseball, US History	Moneyball, Post-Modern Baseball, Baseball at War, Post-War Society	Tom Zeiler	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/baseball-into-the-millennium	6.0	Sport,History & Religion,Politics	0.0
Driving business towards the Sustainable Development Goals	4.8	Beginner level	Flexible schedule	Know what the SDGs are, why they are important and how each individual can be an agent for positive change in the world. Develop a positive, critical, aware and courageous attitude towards the SDGs. Be able to identify interconnectedness of the SDGs and the challenges behind solving them. Understand the role of business in the transition to sustainable development to create a prosperous future for all.	Not specified	Week 1: Introduction to the Sustainable Development Goals , Week 2: The Biosphere, Week 3: Society I, Week 4: Society II, Week 5: Economy, Week 6: Partnerships, Week 7: Systems thinking	René de Koster, Ferdinand Jaspers, Tobias Brandt, Dirk Schoenmaker, Steef van de Velde, Amanda Williams, Gabriele Jacobs, Steve Kennedy, Ying Zhang, Mallory Flowers, Anne-Kathrin Klesse, Dianne Bevelander, Marieke de Wal, Marta Szymanowska, Rob van Tulder, Eva Rood, Frank Wijen, Erik van Raaij, Heleen Tiemersma, Cees van Dam, Michaéla Schippers, Yashar Ghiassi-Farrokhfal	Erasmus University Rotterdam	Arts and Humanities	https://www.coursera.org/learn/sdgbusiness	15.0	Environmental Studies,Economics,Business,Management & Leadership,Social Science,Sociology	1282.0
Urban Air Mobility	4.6	Intermediate level	Flexible schedule	You will get an understanding of new mobility concepts and the influence of Urban Air Mobility on the whole transport system.	Understanding why social acceptance plays such an important role, Analyse challenges and find solution concepts, Understanding new mobility concepts	Introduction - What is Urban Air Mobility?, Urban Air Mobility from an Industry Perspective, Political perspectives, Demand Modeling for Urban Air Mobility, Aviation Management, Traffic Management for Urban Air Mobility, Urban Air Mobility and Urban Planning, Understanding the Acceptance of Urban Air Mobility, Air Mobility Trajectory Planning, Economics of Urban Air Mobility	Constantinos Antoniou , Klaus Drechsler, Luis Rodrigues, Dr. Garrow, Laurie	Technical University of Munich (TUM)	Arts and Humanities	https://www.coursera.org/learn/urban-air-mobility	16.0	Economics,Technology,Energy,Politics	49.0
Leveraging AI for Enhanced Content Creation 	4.9	Beginner level	Flexible schedule	Review the foundational concepts of Generative AI and its transformative impact on content creation.  Ideate and brainstorm using Google Bard, and draft compelling advertisement scripts with ChatGPT. Visualize and create content using Bing Chat, Midjourney, and Runway. Integrate and enhance content with voiceovers using Eleven Labs.	AI assistance, Content Creation, AI-driven prompts, Techniques using AI., AI Tools	Leveraging AI for Enhanced Content Creation	Jordan Wilson	Coursera Instructor Network	Arts and Humanities	https://www.coursera.org/learn/leveraging-ai-for-enhanced-content-creation	3.0	Artificial Intelligence,Design,Technology	14.0
Big Data, Artificial Intelligence, and Ethics	4.6	Beginner level	Flexible schedule	Define and discuss big data opportunities and limitations. Work with IBM Watson and analyze a personality through Natural Language Programming (NLP). Examine how AI is used through case studies. Examine and discuss the roles ethics play in AI and big data.	Not specified	Getting Started and Big Data Opportunities, Big Data Limitations, Artificial Intelligence, Research Ethics 	Martin Hilbert	University of California, Davis	Arts and Humanities	https://www.coursera.org/learn/big-data-ai-ethics	12.0	Big Data,Artificial Intelligence,Ethics & Law	460.0
Getting There and Going Beyond	0.0	Beginner level	Flexible schedule	You will learn about the cosmos and your place in it, the ways we explore space, and how people and politics play a role in what we learn. Plus you will learn how space influences everything in our world all while find your pathway to space.	Rockets, Drones, Satellites, Aeronautics, Astronauts	Aeronautics - Part 1, Aeronautics - Part 2, Near Space, Launch Vehicles, Orbits, Spacecraft Systems - Part 1, Spacecraft Systems - Part 2, Spacecraft Systems - Part 3, Human Exploration - Part 1, Human Exploration - Part 2, Human Exploration - Part 3, Human Exploration - Part 4	Chris Koehler	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/getting-there-and-going-beyond	26.0	Physics,Space,Astronomy	0.0
Leading Oneself with Purpose and Meaning	4.9	Beginner level	Flexible schedule	Reflect on what it means to you to live a good life so you can live with intent. Define the elements of a personal ethos and understand how to lead a values-based life. Reflect on how important legacy is to you and how it can shape your actions and behaviors.	Purpose, character, Excellence, Values, meaning	Defining Purpose and Creating Meaning, Exploring Spirituality and Mortality, Understanding Legacy and Impact, Developing Character and Values, A Model of Personal Excellence	Ron Duren Jr.	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/leading-oneself-with-purpose-and-meaning	33.0	Philosophy,Soft Skills,Therapy,Management & Leadership	19.0
Business Foundations Specialization	4.7	Beginner level	Flexible schedule	Understand branding and go-to-market strategies. Read income statements, balance sheets, and cash flow statements. Manage people through motivation and reward systems. Analyze and improve business processes in services or manufacturing.	Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Process Management, Operations Management, Six Sigma, Inventory, Finance, Marketing, Positioning (Marketing), Marketing Strategy, Customer Satisfaction, Discounted Cash Flow, Corporate Finance, Cash Flow Analysis	Introduction to Marketing, Introduction to Financial Accounting, Managing Social and Human Capital, Introduction to Corporate Finance, Introduction to Operations Management, Wharton Business Foundations Capstone	Barbara E. Kahn, Michael Useem, Michael R Roberts, Jagmohan Raju, Peter Cappelli, Brian J Bushee, Christian Terwiesch, Peter Fader	University of Pennsylvania	Business	https://www.coursera.org/specializations/wharton-business-foundations	80.0	Accounting & Finance,Business,Marketing,Management & Leadership	17963.0
Business Analysis & Process Management	4.4	Beginner level	Hands-on learning	Analyze business processes and find solutions to existing business problems. Define your business processes, their objectives and how they flow within the organizational context. Evaluate the current business from a process view, break down the problems, and find an applicable business solution.	Proficient English language, Business background, Computer literacy	Learn step-by-step	Mahi Ismail	Coursera Project Network	Business	https://www.coursera.org/projects/business-analysis-process-management	2.0	Management & Leadership	2683.0
Successful Negotiation: Essential Strategies and Skills	4.8	Beginner level	Flexible schedule	Understand the negotiation strategies and skills necessary for success. Use a negotiation analysis to prepare for negotiations. Key psychological tools to achieve success. Practice negotiations to find out what you do well and how you can improve. 	Negotiation Analysis, Negotiation, Developing Power, Decision Trees, Psychological Tools	Welcome to Successful Negotiation!, Prepare: Plan Your Negotiation Strategy, Negotiate: Use Key Tactics for Success, Close: Create a Contract, Perform and Evaluate: The End Game, Practice Your Negotiation Skills with an Interactive Experience and Live Negotiations, Final Examination	George Siedel	University of Michigan	Business	https://www.coursera.org/learn/negotiation-skills	17.0	Soft Skills	18974.0
Business Analytics Specialization	4.6	Beginner level	Flexible schedule	Explain how data is used for recruiting and performance evaluation. Model supply and demand for various business scenarios. Solve business problems with data-driven decision-making. Understand the tools used to predict customer behavior.	Customer Analytics, Analytics, Business Analytics, Decision Tree	Customer Analytics, Operations Analytics, People Analytics, Accounting Analytics, Business Analytics Capstone	Eric Bradlow, Wharton Teaching Staff, Martine Haas, Christopher D. Ittner, Senthil Veeraraghavan, Ron Berman, Brian J Bushee, Peter Fader, Sergei Savin, Raghu Iyengar, Cade Massey, Noah Gans, Matthew Bidwell	University of Pennsylvania	Business	https://www.coursera.org/specializations/business-analytics	40.0	Business,Big Data	16230.0
Google Project Management: Professional Certificate	4.8	Beginner level	Flexible schedule	Gain an immersive understanding of the practices and skills needed to succeed in an entry-level project management role. Learn how to create effective project documentation and artifacts throughout the various phases of a project. Learn the foundations of Agile project management, with a focus on implementing Scrum events, building Scrum artifacts, and understanding Scrum roles. Practice strategic communication, problem-solving, and stakeholder management through real-world scenarios.	Project Management, Change Management, Strategic Thinking, Career Development, Organizational Culture, Risk Management, Quality Management, Project Execution, Agile Management, Problem Solving, Coaching, Scrum, Influencing, Effective Communication, Stakeholder Management, Business Writing, Project Charter, Procurement, Task Estimation, Project Planning	Foundations of Project Management, Project Initiation: Starting a Successful Project, Project Planning: Putting It All Together, Project Execution: Running the Project, Agile Project Management, Capstone: Applying Project Management in the Real World	Google Career Certificates	Google	Business	https://www.coursera.org/professional-certificates/google-project-management	240.0	Agile & Scrum,Product/Project Management,Soft Skills,Business,Management & Leadership	95097.0
Small Business Marketing Using YouTube	4.6	Beginner level	Hands-on learning	How to create a YouTube channel. How to use YouTube to promote your small business.	Uploading videos to YouTube, Using Creator Studio, Using the Analytics tool, Creating a YouTube channel	Learn step-by-step	Julia Arteno	Coursera Project Network	Business	https://www.coursera.org/projects/youtube-small-business-marketing	1.0	Social Media,Marketing	487.0
Introduction to Business Specialization	4.7	Beginner level	Flexible schedule	Determine content that resonates with consumers and how businesses can differentiate themselves in competitive markets with that content. Explore business growth best practices, including the basics of management, employee leadership development, and strategic planning. Utilize critical financial information to help run and grow a business while managing cash flow and expenses.	Storytelling, Leadership Style, Strategic Planning, engagement, Expense Control	Essentials of Management and Strategic Planning, Fundamentals of Finance, Introduction to Digital Marketing	Marla Noel, Steve Fritzenkotter	University of California, Irvine	Business	https://www.coursera.org/specializations/business-introduction	40.0	Management & Leadership,Business,Marketing	140.0
Business Strategy Specialization	4.8	Beginner level	Flexible schedule	How to evaluate industry evolution. How to build and sustain competitive advantage. How to formulate and assess business strategies. How to align efforts to organizational strategy.	Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy	Foundations of Business Strategy, Advanced Business Strategy, Business Growth Strategy, Strategic Planning and Execution, Business Strategy in Practice (Project-centered Course)	Scott Snell, Jared Harris, Michael Lenox	University of Virginia	Business	https://www.coursera.org/specializations/business-strategy	40.0	Management & Leadership,Business	2635.0
Principles of Management	4.7	Not specified	Flexible schedule	Effectively manage teams. Facilitate constructive conflict & coach employees for success. Focus team's work on meeting strategic & project objectives.	Business Communication, Coaching, strategy, Team Management, Leadership And Management	Introduction to Management: Communicating with Direct Reports & Teams , Coaching Direct Reports & Teams and Influencing Without Authority, Strategy,   Priorities, Projects , Making High-Quality, Ethical Decisions	Illysa Izenberg	Johns Hopkins University	Business	https://www.coursera.org/learn/principles-of-management	15.0	Business,Communication,Management & Leadership	237.0
Increase Engagement to your Instagram Business Profile 	4.0	Beginner level	Hands-on learning	Publish visually appealing images on your Instagram Business page.	Social Media Marketing, Social Media, Social Media Platforms	Learn step-by-step	Michelle Flores	Coursera Project Network	Business	https://www.coursera.org/projects/increase-engagement-instagram-business-profile	2.0	Social Media,Marketing	169.0
AI, Business & the Future of Work	4.7	Beginner level	Flexible schedule	How AI can give you better information upon which to make better decisions. How AI can help you automate processes and become more efficient. How AI will impact your industry so that you can avoid the pitfalls and seize the benefits.	Not specified	Introduction to AI in work and business, What AI can do, Risks with AI, AI and the future of work	Anamaria Dutceac Segesten	Lund University	Business	https://www.coursera.org/learn/ai-business-future-of-work	11.0	Artificial Intelligence,Business	378.0
